GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE15-19,15-19  years,,FMLE,Female,,,,,,,,0.000398408,0.00040,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE40-44,40-44 years,,FMLE,Female,,,,,,,,0.001752786,0.00175,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE50-54,50-54 years,,FMLE,Female,,,,,,,,0.003820896,0.00382,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE85PLUS,85+ years,,FMLE,Female,,,,,,,,0.151431874,0.15143,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE1-4,1-4 years,,FMLE,Female,,,,,,,,0.000268876,0.00027,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE35-39,35-39 years,,FMLE,Female,,,,,,,,0.001116615,0.00112,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE45-49,45-49 years,,FMLE,Female,,,,,,,,0.00270452,0.00270,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE70-74,70-74 years,,FMLE,Female,,,,,,,,0.021756896,0.02176,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE80-84,80-84 years,,FMLE,Female,,,,,,,,0.061313075,0.06131,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE20-24,20-24 years,,FMLE,Female,,,,,,,,0.000447726,0.00045,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE30-34,30-34 years,,FMLE,Female,,,,,,,,0.000730715,0.00073,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE65-69,65-69 years,,FMLE,Female,,,,,,,,0.012309116,0.01231,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE75-79,75-79 years,,FMLE,Female,,,,,,,,0.031849468,0.03185,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE5-9,5-9 years,,FMLE,Female,,,,,,,,9.98E-05,0.00010,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE15-19,15-19  years,,FMLE,Female,,,,,,,,0.000286894,0.00029,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE50-54,50-54 years,,FMLE,Female,,,,,,,,0.003921995,0.00392,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE60-64,60-64 years,,FMLE,Female,,,,,,,,0.007935546,0.00794,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE1-4,1-4 years,,FMLE,Female,,,,,,,,0.000201505,0.00020,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE10-14,10-14 years,,FMLE,Female,,,,,,,,0.00012587,0.00013,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE35-39,35-39 years,,FMLE,Female,,,,,,,,0.001278144,0.00128,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE45-49,45-49 years,,FMLE,Female,,,,,,,,0.002424855,0.00242,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE55-59,55-59 years,,FMLE,Female,,,,,,,,0.006157265,0.00616,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE80-84,80-84 years,,FMLE,Female,,,,,,,,0.051638251,0.05164,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGELT1,<1 year,,BTSX,Both sexes,,,,,,,,0.007541347,0.00754,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE30-34,30-34 years,,BTSX,Both sexes,,,,,,,,0.001109074,0.00111,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE40-44,40-44 years,,BTSX,Both sexes,,,,,,,,0.002398684,0.00240,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE65-69,65-69 years,,BTSX,Both sexes,,,,,,,,0.019235789,0.01924,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE75-79,75-79 years,,BTSX,Both sexes,,,,,,,,0.04577231,0.04577,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE85PLUS,85+ years,,BTSX,Both sexes,,,,,,,,0.159569013,0.15957,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE15-19,15-19  years,,BTSX,Both sexes,,,,,,,,0.000650877,0.00065,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE25-29,25-29 years,,BTSX,Both sexes,,,,,,,,0.001027177,0.00103,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE60-64,60-64 years,,BTSX,Both sexes,,,,,,,,0.01148704,0.01149,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE70-74,70-74 years,,BTSX,Both sexes,,,,,,,,0.026494322,0.02649,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE1-4,1-4 years,,BTSX,Both sexes,,,,,,,,0.000261491,0.00026,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE10-14,10-14 years,,BTSX,Both sexes,,,,,,,,0.000143303,0.00014,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE20-24,20-24 years,,BTSX,Both sexes,,,,,,,,0.000867746,0.00087,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE45-49,45-49 years,,BTSX,Both sexes,,,,,,,,0.003284994,0.00328,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE55-59,55-59 years,,BTSX,Both sexes,,,,,,,,0.007105279,0.00711,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGELT1,<1 year,,BTSX,Both sexes,,,,,,,,0.006234079,0.00623,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE5-9,5-9 years,,BTSX,Both sexes,,,,,,,,0.0001146,0.00011,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE40-44,40-44 years,,BTSX,Both sexes,,,,,,,,0.002075028,0.00208,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE50-54,50-54 years,,BTSX,Both sexes,,,,,,,,0.004978294,0.00498,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE75-79,75-79 years,,BTSX,Both sexes,,,,,,,,0.035777806,0.03578,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE85PLUS,85+ years,,BTSX,Both sexes,,,,,,,,0.138187376,0.13819,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE25-29,25-29 years,,BTSX,Both sexes,,,,,,,,0.001165264,0.00117,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE35-39,35-39 years,,BTSX,Both sexes,,,,,,,,0.001784703,0.00178,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE70-74,70-74 years,,BTSX,Both sexes,,,,,,,,0.023422847,0.02342,,,,,
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/29,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE80-84,80-84 years,,BTSX,Both sexes,,,,,,,,0.057805257,0.05781,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE10-14,10-14 years,,MLE,Male,,,,,,,,118.9438461,118.94385,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE20-24,20-24 years,,MLE,Male,,,,,,,,679.2156334,679.21563,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE55-59,55-59 years,,MLE,Male,,,,,,,,4383.719437,4383.71944,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE65-69,65-69 years,,MLE,Male,,,,,,,,8788.498294,8788.49829,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE5-9,5-9 years,,MLE,Male,,,,,,,,81.14504974,81.14505,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE15-19,15-19  years,,MLE,Male,,,,,,,,450.6229319,450.62293,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE40-44,40-44 years,,MLE,Male,,,,,,,,1397.769736,1397.76974,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE50-54,50-54 years,,MLE,Male,,,,,,,,2992.538686,2992.53869,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE85PLUS,85+ years,,MLE,Male,,,,,,,,30776.45898,30776.45898,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE1-4,1-4 years,,MLE,Male,,,,,,,,115.5518751,115.55188,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE35-39,35-39 years,,MLE,Male,,,,,,,,856.5295901,856.52959,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE45-49,45-49 years,,MLE,Male,,,,,,,,1874.492524,1874.49252,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE70-74,70-74 years,,MLE,Male,,,,,,,,9458.906878,9458.90688,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE80-84,80-84 years,,MLE,Male,,,,,,,,15622.58512,15622.58512,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE20-24,20-24 years,,MLE,Male,,,,,,,,636.0864912,636.08649,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE30-34,30-34 years,,MLE,Male,,,,,,,,843.6839313,843.68393,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE65-69,65-69 years,,MLE,Male,,,,,,,,7126.838136,7126.83814,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_HI,2015,2015,High-income,,USA,United States of America,,AGE75-79,75-79 years,,MLE,Male,,,,,,,,12051.53322,12051.53322,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE5-9,5-9 years,,MLE,Male,,,,,,,,67.07029439,67.07029,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE15-19,15-19  years,,MLE,Male,,,,,,,,327.311457,327.31146,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE50-54,50-54 years,,MLE,Male,,,,,,,,2599.062987,2599.06299,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_HI,2019,2019,High-income,,USA,United States of America,,AGE60-64,60-64 years,,MLE,Male,,,,,,,,5567.847373,5567.84737,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE1-4,1-4 years,,FMLE,Female,,,,,,,,110.7679026,110.76790,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE10-14,10-14 years,,FMLE,Female,,,,,,,,79.03651061,79.03651,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE35-39,35-39 years,,FMLE,Female,,,,,,,,566.1900415,566.19004,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE45-49,45-49 years,,FMLE,Female,,,,,,,,1208.407181,1208.40718,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_HI,2000,2000,High-income,,USA,United States of America,,AGE80-84,80-84 years,,FMLE,Female,,,,,,,,15916.80406,15916.80406,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGELT1,<1 year,,FMLE,Female,,,,,,,,583.5589671,583.55897,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE30-34,30-34 years,,FMLE,Female,,,,,,,,370.8559454,370.85595,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE40-44,40-44 years,,FMLE,Female,,,,,,,,875.2184328,875.21843,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE65-69,65-69 years,,FMLE,Female,,,,,,,,5740.403921,5740.40392,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_HI,2005,2005,High-income,,USA,United States of America,,AGE75-79,75-79 years,,FMLE,Female,,,,,,,,11718.45522,11718.45522,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE15-19,15-19  years,,FMLE,Female,,,,,,,,139.7982949,139.79829,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE25-29,25-29 years,,FMLE,Female,,,,,,,,280.80912,280.80912,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE60-64,60-64 years,,FMLE,Female,,,,,,,,3534.505848,3534.50585,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_HI,2010,2010,High-income,,USA,United States of America,,AGE70-74,70-74 years,,FMLE,Female,,,,,,,,7636.56177,7636.56177,,,,,
