,GHO (CODE),GHO (DISPLAY),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),SEX (CODE),SEX (DISPLAY),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),Numeric
6259,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1990,1990,,USA,United States of America,,,,,,,66.00000
6260,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1991,1991,,USA,United States of America,,,,,,,15.00000
6261,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1991,1991,,USA,United States of America,,,,,,,78.00000
6262,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1993,1993,,USA,United States of America,,,,,,,17.00000
6263,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1993,1993,,USA,United States of America,,,,,,,90.00000
6264,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1994,1994,,USA,United States of America,,,,,,,19.00000
6265,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1994,1994,,USA,United States of America,,,,,,,97.00000
6266,SA_0000001472,"Alcohol-related injury mortality, per 1,000",1964,1964,,USA,United States of America,,,MLE,Male,,,0.92000
6267,SA_0000001472,"Alcohol-related injury mortality, per 1,000",1964,1964,,USA,United States of America,,,FMLE,Female,,,0.32000
6268,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1995,1995,,USA,United States of America,,,,,,,17.00000
6269,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1995,1995,,USA,United States of America,,,,,,,87.00000
6270,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1996,1996,,USA,United States of America,,,,,,,19.00000
6271,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1996,1996,,USA,United States of America,,,,,,,97.00000
6272,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1997,1997,,USA,United States of America,,,,,,,18.00000
6273,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1997,1997,,USA,United States of America,,,,,,,98.00000
6274,SA_0000001463,"Alcoholic psychosis, incidence, per 100,000",1998,1998,,USA,United States of America,,,,,,,104.00000
6275,SA_0000001466,"Hospital discharges, alcoholic liver disease, per 100,000",1998,1998,,USA,United States of America,,,,,,,20.00000
6276,SA_0000001548,Excise tax as a per cent of the total retail price for 1 litre of pure alcohol,2008,2008,,USA,United States of America,,,,,,,
6277,SA_0000001523,"Prices for alcoholic beverages (average, US$)",2012,2012,,USA,United States of America,,,,,,,
6278,SA_0000001523,"Prices for alcoholic beverages (average, US$)",2012,2012,,USA,United States of America,,,,,,,
6279,SA_0000001523,"Prices for alcoholic beverages (average, US$)",2012,2012,,USA,United States of America,,,,,,,
6280,SA_0000001523,"Prices for alcoholic beverages (average, US$)",2012,2012,,USA,United States of America,,,,,,,
6281,SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,2012,2012,,USA,United States of America,,,,,,,
6282,SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,2012,2012,,USA,United States of America,,,,,,,
6283,SA_0000001546,Excise tax as a per cent of the retail price of alcoholic beverages,2012,2012,,USA,United States of America,,,,,,,
6284,SA_0000001417,"Alcohol, patterns of drinking score",2010,2010,,USA,United States of America,,,,,,,
6292,SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",2005,2005,,USA,United States of America,,,,,,,1.00000
6293,SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",2010,2010,,USA,United States of America,,,,,,,0.50000
6294,SA_0000001405,"Alcohol, tourist consumption (in litres of pure alcohol)",2010,2010,,USA,United States of America,,,,,,,
6295,SA_0000001406,"Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)",2015,2015,,USA,United States of America,,,,,,,0.50000
6296,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1987,1987,,USA,United States of America,,,,,,,5.07000
6297,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1972,1972,,USA,United States of America,,,,,,,1.14000
6298,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1991,1991,,USA,United States of America,,,,,,,4.88000
6299,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1969,1969,,USA,United States of America,,,,,,,9.50000
6300,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1993,1993,,USA,United States of America,,,,,,,2.57000
6301,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1993,1993,,USA,United States of America,,,,,,,8.40000
6302,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1975,1975,,USA,United States of America,,,,,,,1.21000
6303,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1968,1968,,USA,United States of America,,,,,,,4.13000
6304,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1964,1964,,USA,United States of America,,,,,,,3.60000
6305,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1997,1997,,USA,United States of America,,,,,,,2.35000
6306,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1973,1973,,USA,United States of America,,,,,,,4.54000
6307,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1980,1980,,USA,United States of America,,,,,,,1.29000
6308,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1964,1964,,USA,United States of America,,,,,,,8.44000
6309,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1996,1996,,USA,United States of America,,,,,,,1.14000
6310,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1986,1986,,USA,United States of America,,,,,,,5.07000
6311,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1971,1971,,USA,United States of America,,,,,,,4.35000
6312,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1983,1983,,USA,United States of America,,,,,,,5.19000
6313,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1978,1978,,USA,United States of America,,,,,,,5.03000
6314,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1967,1967,,USA,United States of America,,,,,,,0.95000
6315,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1979,1979,,USA,United States of America,,,,,,,10.41000
6316,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1999,1999,,USA,United States of America,,,,,,,4.66000
6317,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1962,1962,,USA,United States of America,,,,,,,0.83000
6318,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1982,1982,,USA,United States of America,,,,,,,3.71000
6319,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1995,1995,,USA,United States of America,,,,,,,4.66000
6320,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1963,1963,,USA,United States of America,,,,,,,3.82000
6321,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1989,1989,,USA,United States of America,,,,,,,2.91000
6322,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1976,1976,,USA,United States of America,,,,,,,4.81000
6323,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1977,1977,,USA,United States of America,,,,,,,9.99000
6324,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1981,1981,,USA,United States of America,,,,,,,10.45000
6325,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1960,1960,,USA,United States of America,,,,,,,0.83000
6326,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1972,1972,,USA,United States of America,,,,,,,9.69000
6327,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1982,1982,,USA,United States of America,,,,,,,5.22000
6328,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1995,1995,,USA,United States of America,,,,,,,1.10000
6329,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1974,1974,,USA,United States of America,,,,,,,4.73000
6330,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1980,1980,,USA,United States of America,,,,,,,10.45000
6331,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1963,1963,,USA,United States of America,,,,,,,0.87000
6332,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1970,1970,,USA,United States of America,,,,,,,1.02000
6333,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1999,1999,,USA,United States of America,,,,,,,1.17000
6334,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1967,1967,,USA,United States of America,,,,,,,8.97000
6335,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1962,1962,,USA,United States of America,,,,,,,3.41000
6336,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1965,1965,,USA,United States of America,,,,,,,0.91000
6337,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1994,1994,,USA,United States of America,,,,,,,4.73000
6338,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1972,1972,,USA,United States of America,,,,,,,4.13000
6339,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1985,1985,,USA,United States of America,,,,,,,9.88000
6340,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1984,1984,,USA,United States of America,,,,,,,1.40000
6341,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1996,1996,,USA,United States of America,,,,,,,8.18000
6342,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1979,1979,,USA,United States of America,,,,,,,5.19000
6343,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1992,1992,,USA,United States of America,,,,,,,2.69000
6344,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1975,1975,,USA,United States of America,,,,,,,10.18000
6345,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1974,1974,,USA,United States of America,,,,,,,4.20000
6346,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1989,1989,,USA,United States of America,,,,,,,9.16000
6347,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1988,1988,,USA,United States of America,,,,,,,1.36000
6348,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1997,1997,,USA,United States of America,,,,,,,8.10000
6349,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1979,1979,,USA,United States of America,,,,,,,4.01000
6350,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1985,1985,,USA,United States of America,,,,,,,3.41000
6351,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1991,1991,,USA,United States of America,,,,,,,1.14000
6352,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1969,1969,,USA,United States of America,,,,,,,4.24000
6353,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1984,1984,,USA,United States of America,,,,,,,10.18000
6354,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1969,1969,,USA,United States of America,,,,,,,4.28000
6355,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1966,1966,,USA,United States of America,,,,,,,0.91000
6356,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1988,1988,,USA,United States of America,,,,,,,2.99000
6357,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1965,1965,,USA,United States of America,,,,,,,3.75000
6358,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1971,1971,,USA,United States of America,,,,,,,1.17000
6359,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1960,1960,,USA,United States of America,,,,,,,7.83000
6360,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1981,1981,,USA,United States of America,,,,,,,5.26000
6361,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1992,1992,,USA,United States of America,,,,,,,1.14000
6362,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1998,1998,,USA,United States of America,,,,,,,4.62000
6363,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1961,1961,,USA,United States of America,,,,,,,3.67000
6364,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1970,1970,,USA,United States of America,,,,,,,4.20000
6365,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1989,1989,,USA,United States of America,,,,,,,4.96000
6366,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1988,1988,,USA,United States of America,,,,,,,9.39000
6367,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1993,1993,,USA,United States of America,,,,,,,4.77000
6368,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1977,1977,,USA,United States of America,,,,,,,4.01000
6369,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1982,1982,,USA,United States of America,,,,,,,1.36000
6370,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1962,1962,,USA,United States of America,,,,,,,3.75000
6371,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1973,1973,,USA,United States of America,,,,,,,1.17000
6372,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1983,1983,,USA,United States of America,,,,,,,1.36000
6373,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1968,1968,,USA,United States of America,,,,,,,0.98000
6374,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1964,1964,,USA,United States of America,,,,,,,3.94000
6375,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1987,1987,,USA,United States of America,,,,,,,1.44000
6376,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1966,1966,,USA,United States of America,,,,,,,4.01000
6377,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1962,1962,,USA,United States of America,,,,,,,7.99000
6378,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1995,1995,,USA,United States of America,,,,,,,8.14000
6379,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1973,1973,,USA,United States of America,,,,,,,4.16000
6380,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1977,1977,,USA,United States of America,,,,,,,4.88000
6381,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1978,1978,,USA,United States of America,,,,,,,4.05000
6382,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1992,1992,,USA,United States of America,,,,,,,8.71000
6383,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1984,1984,,USA,United States of America,,,,,,,3.56000
6384,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1960,1960,,USA,United States of America,,,,,,,3.26000
6385,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1976,1976,,USA,United States of America,,,,,,,1.21000
6386,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1965,1965,,USA,United States of America,,,,,,,8.59000
6387,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1998,1998,,USA,United States of America,,,,,,,1.14000
6388,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1997,1997,,USA,United States of America,,,,,,,4.62000
6389,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1964,1964,,USA,United States of America,,,,,,,0.91000
6390,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1984,1984,,USA,United States of America,,,,,,,5.22000
6391,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1988,1988,,USA,United States of America,,,,,,,5.03000
6392,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1965,1965,,USA,United States of America,,,,,,,3.94000
6393,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1991,1991,,USA,United States of America,,,,,,,8.71000
6394,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1994,1994,,USA,United States of America,,,,,,,1.06000
6395,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1970,1970,,USA,United States of America,,,,,,,9.54000
6396,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1980,1980,,USA,United States of America,,,,,,,3.94000
6397,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1987,1987,,USA,United States of America,,,,,,,9.61000
6398,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1999,1999,,USA,United States of America,,,,,,,8.21000
6399,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1990,1990,,USA,United States of America,,,,,,,1.25000
6400,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1987,1987,,USA,United States of America,,,,,,,3.10000
6401,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1968,1968,,USA,United States of America,,,,,,,9.27000
6402,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1992,1992,,USA,United States of America,,,,,,,4.88000
6403,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1978,1978,,USA,United States of America,,,,,,,10.26000
6404,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1973,1973,,USA,United States of America,,,,,,,9.88000
6405,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1968,1968,,USA,United States of America,,,,,,,4.16000
6406,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1967,1967,,USA,United States of America,,,,,,,4.05000
6407,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1995,1995,,USA,United States of America,,,,,,,2.38000
6408,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1963,1963,,USA,United States of America,,,,,,,3.44000
6409,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1970,1970,,USA,United States of America,,,,,,,4.31000
6410,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1983,1983,,USA,United States of America,,,,,,,3.63000
6411,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1981,1981,,USA,United States of America,,,,,,,1.32000
6412,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1994,1994,,USA,United States of America,,,,,,,8.25000
6413,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1960,1960,,USA,United States of America,,,,,,,3.75000
6414,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1985,1985,,USA,United States of America,,,,,,,1.44000
6415,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1961,1961,,USA,United States of America,,,,,,,3.26000
6416,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1974,1974,,USA,United States of America,,,,,,,1.17000
6417,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1986,1986,,USA,United States of America,,,,,,,1.48000
6418,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1994,1994,,USA,United States of America,,,,,,,2.46000
6419,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1999,1999,,USA,United States of America,,,,,,,2.38000
6420,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1963,1963,,USA,United States of America,,,,,,,8.14000
6421,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1983,1983,,USA,United States of America,,,,,,,10.18000
6422,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1975,1975,,USA,United States of America,,,,,,,4.77000
6423,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1996,1996,,USA,United States of America,,,,,,,4.66000
6424,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1979,1979,,USA,United States of America,,,,,,,1.21000
6425,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1976,1976,,USA,United States of America,,,,,,,10.18000
6426,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1982,1982,,USA,United States of America,,,,,,,10.30000
6427,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1993,1993,,USA,United States of America,,,,,,,1.06000
6428,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1971,1971,,USA,United States of America,,,,,,,4.24000
6429,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1990,1990,,USA,United States of America,,,,,,,2.91000
6430,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1961,1961,,USA,United States of America,,,,,,,7.80000
6431,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1997,1997,,USA,United States of America,,,,,,,1.14000
6432,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1976,1976,,USA,United States of America,,,,,,,4.16000
6433,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1998,1998,,USA,United States of America,,,,,,,8.10000
6434,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1977,1977,,USA,United States of America,,,,,,,1.10000
6435,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1966,1966,,USA,United States of America,,,,,,,3.86000
6436,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1989,1989,,USA,United States of America,,,,,,,1.29000
6437,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1998,1998,,USA,United States of America,,,,,,,2.35000
6438,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1990,1990,,USA,United States of America,,,,,,,9.24000
6439,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1971,1971,,USA,United States of America,,,,,,,9.77000
6440,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1986,1986,,USA,United States of America,,,,,,,9.73000
6441,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1986,1986,,USA,United States of America,,,,,,,3.18000
6442,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1974,1974,,USA,United States of America,,,,,,,10.11000
6443,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1981,1981,,USA,United States of America,,,,,,,3.86000
6444,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1990,1990,,USA,United States of America,,,,,,,5.07000
6445,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1967,1967,,USA,United States of America,,,,,,,3.97000
6446,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1996,1996,,USA,United States of America,,,,,,,2.38000
6447,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1978,1978,,USA,United States of America,,,,,,,1.17000
6448,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1975,1975,,USA,United States of America,,,,,,,4.20000
6449,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1985,1985,,USA,United States of America,,,,,,,5.03000
6450,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1972,1972,,USA,United States of America,,,,,,,4.43000
6451,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1961,1961,,USA,United States of America,,,,,,,0.87000
6452,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1991,1991,,USA,United States of America,,,,,,,2.69000
6453,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1969,1969,,USA,United States of America,,,,,,,0.98000
6454,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1980,1980,,USA,United States of America,,,,,,,5.22000
6455,SA_0000001400,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)",1966,1966,,USA,United States of America,,,,,,,8.78000
6456,SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",2016,2016,,USA,United States of America,,,FMLE,Female,,,6.60000
6457,SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",2016,2016,,USA,United States of America,,,BTSX,Both sexes,,,13.60000
6458,SA_0000001404,"Alcohol, drinkers only per capita (15+)consumption in litres of pure alcohol",2016,2016,,USA,United States of America,,,MLE,Male,,,18.90000
6459,SA_0000001409,"Alcohol, abstainers lifetime (%)",2016,2016,,USA,United States of America,,,FMLE,Female,,,
6460,SA_0000001409,"Alcohol, abstainers lifetime (%)",2016,2016,,USA,United States of America,,,BTSX,Both sexes,,,
6461,SA_0000001409,"Alcohol, abstainers lifetime (%)",2016,2016,,USA,United States of America,,,MLE,Male,,,
6462,SA_0000001414,"Alcohol, former drinkers (%)",2016,2016,,USA,United States of America,,,BTSX,Both sexes,,,
6463,SA_0000001414,"Alcohol, former drinkers (%)",2016,2016,,USA,United States of America,,,FMLE,Female,,,
6464,SA_0000001414,"Alcohol, former drinkers (%)",2016,2016,,USA,United States of America,,,MLE,Male,,,
6465,SA_0000001413,"Alcohol, consumers past 12 months (%)",2016,2016,,USA,United States of America,,,FMLE,Female,,,
6466,SA_0000001413,"Alcohol, consumers past 12 months (%)",2016,2016,,USA,United States of America,,,BTSX,Both sexes,,,
6467,SA_0000001413,"Alcohol, consumers past 12 months (%)",2016,2016,,USA,United States of America,,,MLE,Male,,,
6468,SA_0000001461,"Alcohol dependence (15+ ), 12-month prevalence (%) with 95%CI",2016,2016,,USA,United States of America,,,MLE,Male,,,
