,GHO (CODE),GHO (DISPLAY),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),SEX (CODE),SEX (DISPLAY),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY)
4300,SDGPM25,Concentrations of fine particulate matter (PM2.5),2016,2016,,USA,United States of America,,,,,,
4301,SDGPM25,Concentrations of fine particulate matter (PM2.5),2016,2016,,USA,United States of America,,,,,,
4302,SDGPM25,Concentrations of fine particulate matter (PM2.5),2016,2016,,USA,United States of America,,,,,,
4303,SDGPM25,Concentrations of fine particulate matter (PM2.5),2016,2016,,USA,United States of America,,,,,,
4304,SDGPM25,Concentrations of fine particulate matter (PM2.5),2016,2016,,USA,United States of America,,,,,,
4305,SDGPM25,Concentrations of fine particulate matter (PM2.5),2017,2017,,USA,United States of America,,,,,,
4306,SDGPM25,Concentrations of fine particulate matter (PM2.5),2017,2017,,USA,United States of America,,,,,,
4307,SDGPM25,Concentrations of fine particulate matter (PM2.5),2017,2017,,USA,United States of America,,,,,,
4308,SDGPM25,Concentrations of fine particulate matter (PM2.5),2017,2017,,USA,United States of America,,,,,,
4309,SDGPM25,Concentrations of fine particulate matter (PM2.5),2017,2017,,USA,United States of America,,,,,,
4310,SDGPM25,Concentrations of fine particulate matter (PM2.5),2018,2018,,USA,United States of America,,,,,,
4311,SDGPM25,Concentrations of fine particulate matter (PM2.5),2018,2018,,USA,United States of America,,,,,,
4312,SDGPM25,Concentrations of fine particulate matter (PM2.5),2018,2018,,USA,United States of America,,,,,,
4313,SDGPM25,Concentrations of fine particulate matter (PM2.5),2018,2018,,USA,United States of America,,,,,,
4314,SDGPM25,Concentrations of fine particulate matter (PM2.5),2018,2018,,USA,United States of America,,,,,,
4315,SDGPM25,Concentrations of fine particulate matter (PM2.5),2019,2019,,USA,United States of America,,,,,,
4316,SDGPM25,Concentrations of fine particulate matter (PM2.5),2019,2019,,USA,United States of America,,,,,,
4317,SDGPM25,Concentrations of fine particulate matter (PM2.5),2019,2019,,USA,United States of America,,,,,,
4318,SDGPM25,Concentrations of fine particulate matter (PM2.5),2019,2019,,USA,United States of America,,,,,,
4319,SDGPM25,Concentrations of fine particulate matter (PM2.5),2019,2019,,USA,United States of America,,,,,,
4320,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4321,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4322,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4323,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4324,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4325,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4326,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4327,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4328,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4329,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4330,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4331,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4332,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,MLE,Male,,
4333,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,MLE,Male,,
4334,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,MLE,Male,,
4335,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,MLE,Male,,
4336,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,MLE,Male,,
4337,SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),2019,2019,,USA,United States of America,,,MLE,Male,,
4338,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4339,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4340,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4341,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4342,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4343,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4344,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,FMLE,Female,,
4345,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,FMLE,Female,,
4346,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,FMLE,Female,,
4347,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,FMLE,Female,,
4348,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,FMLE,Female,,
4349,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,FMLE,Female,,
4350,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,MLE,Male,,
4351,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,MLE,Male,,
4352,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,MLE,Male,,
4353,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,MLE,Male,,
4354,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,MLE,Male,,
4355,SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",2019,2019,,USA,United States of America,,,MLE,Male,,
4356,SDGHIV,New HIV infections (per 1000 uninfected population),1990,1990,,USA,United States of America,,,BTSX,Both sexes,,
4357,SDGHIV,New HIV infections (per 1000 uninfected population),1990,1990,,USA,United States of America,,,FMLE,Female,,
4358,SDGHIV,New HIV infections (per 1000 uninfected population),1990,1990,,USA,United States of America,,,MLE,Male,,
4359,SDGHIV,New HIV infections (per 1000 uninfected population),1991,1991,,USA,United States of America,,,BTSX,Both sexes,,
4360,SDGHIV,New HIV infections (per 1000 uninfected population),1992,1992,,USA,United States of America,,,BTSX,Both sexes,,
4361,SDGHIV,New HIV infections (per 1000 uninfected population),1991,1991,,USA,United States of America,,,MLE,Male,,
4362,SDGHIV,New HIV infections (per 1000 uninfected population),1992,1992,,USA,United States of America,,,MLE,Male,,
4363,SDGHIV,New HIV infections (per 1000 uninfected population),1993,1993,,USA,United States of America,,,MLE,Male,,
4364,SDGHIV,New HIV infections (per 1000 uninfected population),1991,1991,,USA,United States of America,,,FMLE,Female,,
4365,SDGHIV,New HIV infections (per 1000 uninfected population),1993,1993,,USA,United States of America,,,BTSX,Both sexes,,
4366,SDGHIV,New HIV infections (per 1000 uninfected population),1993,1993,,USA,United States of America,,,FMLE,Female,,
4367,SDGHIV,New HIV infections (per 1000 uninfected population),1994,1994,,USA,United States of America,,,BTSX,Both sexes,,
4368,SDGHIV,New HIV infections (per 1000 uninfected population),1994,1994,,USA,United States of America,,,FMLE,Female,,
4369,SDGHIV,New HIV infections (per 1000 uninfected population),1995,1995,,USA,United States of America,,,BTSX,Both sexes,,
4370,SDGHIV,New HIV infections (per 1000 uninfected population),1995,1995,,USA,United States of America,,,FMLE,Female,,
4371,SDGHIV,New HIV infections (per 1000 uninfected population),1995,1995,,USA,United States of America,,,MLE,Male,,
4372,SDGHIV,New HIV infections (per 1000 uninfected population),1996,1996,,USA,United States of America,,,FMLE,Female,,
4373,SDGHIV,New HIV infections (per 1000 uninfected population),1994,1994,,USA,United States of America,,,MLE,Male,,
4374,SDGHIV,New HIV infections (per 1000 uninfected population),1996,1996,,USA,United States of America,,,BTSX,Both sexes,,
4375,SDGHIV,New HIV infections (per 1000 uninfected population),1997,1997,,USA,United States of America,,,FMLE,Female,,
4376,SDGHIV,New HIV infections (per 1000 uninfected population),1997,1997,,USA,United States of America,,,BTSX,Both sexes,,
4377,SDGHIV,New HIV infections (per 1000 uninfected population),1996,1996,,USA,United States of America,,,MLE,Male,,
4378,SDGHIV,New HIV infections (per 1000 uninfected population),1998,1998,,USA,United States of America,,,FMLE,Female,,
4379,SDGHIV,New HIV infections (per 1000 uninfected population),1998,1998,,USA,United States of America,,,MLE,Male,,
4380,SDGHIV,New HIV infections (per 1000 uninfected population),1999,1999,,USA,United States of America,,,FMLE,Female,,
4381,SDGHIV,New HIV infections (per 1000 uninfected population),1998,1998,,USA,United States of America,,,BTSX,Both sexes,,
4382,SDGHIV,New HIV infections (per 1000 uninfected population),2000,2000,,USA,United States of America,,,FMLE,Female,,
4383,SDGHIV,New HIV infections (per 1000 uninfected population),1999,1999,,USA,United States of America,,,MLE,Male,,
4384,SDGHIV,New HIV infections (per 1000 uninfected population),2002,2002,,USA,United States of America,,,BTSX,Both sexes,,
4385,SDGHIV,New HIV infections (per 1000 uninfected population),2001,2001,,USA,United States of America,,,BTSX,Both sexes,,
4386,SDGHIV,New HIV infections (per 1000 uninfected population),2001,2001,,USA,United States of America,,,FMLE,Female,,
4387,SDGHIV,New HIV infections (per 1000 uninfected population),2001,2001,,USA,United States of America,,,MLE,Male,,
4388,SDGHIV,New HIV infections (per 1000 uninfected population),2003,2003,,USA,United States of America,,,MLE,Male,,
4389,SDGHIV,New HIV infections (per 1000 uninfected population),2003,2003,,USA,United States of America,,,BTSX,Both sexes,,
4390,SDGHIV,New HIV infections (per 1000 uninfected population),2002,2002,,USA,United States of America,,,MLE,Male,,
4391,SDGHIV,New HIV infections (per 1000 uninfected population),2000,2000,,USA,United States of America,,,BTSX,Both sexes,,
4392,SDGHIV,New HIV infections (per 1000 uninfected population),2004,2004,,USA,United States of America,,,MLE,Male,,
4393,SDGHIV,New HIV infections (per 1000 uninfected population),2004,2004,,USA,United States of America,,,BTSX,Both sexes,,
4394,SDGHIV,New HIV infections (per 1000 uninfected population),2004,2004,,USA,United States of America,,,FMLE,Female,,
4395,SDGHIV,New HIV infections (per 1000 uninfected population),2002,2002,,USA,United States of America,,,FMLE,Female,,
4396,SDGHIV,New HIV infections (per 1000 uninfected population),2006,2006,,USA,United States of America,,,FMLE,Female,,
4397,SDGHIV,New HIV infections (per 1000 uninfected population),2006,2006,,USA,United States of America,,,BTSX,Both sexes,,
4398,SDGHIV,New HIV infections (per 1000 uninfected population),2007,2007,,USA,United States of America,,,BTSX,Both sexes,,
4399,SDGHIV,New HIV infections (per 1000 uninfected population),2005,2005,,USA,United States of America,,,BTSX,Both sexes,,
4400,SDGHIV,New HIV infections (per 1000 uninfected population),2007,2007,,USA,United States of America,,,FMLE,Female,,
4401,SDGHIV,New HIV infections (per 1000 uninfected population),2005,2005,,USA,United States of America,,,FMLE,Female,,
4402,SDGHIV,New HIV infections (per 1000 uninfected population),2008,2008,,USA,United States of America,,,FMLE,Female,,
4403,SDGHIV,New HIV infections (per 1000 uninfected population),2007,2007,,USA,United States of America,,,MLE,Male,,
4404,SDGHIV,New HIV infections (per 1000 uninfected population),2005,2005,,USA,United States of America,,,MLE,Male,,
4405,SDGHIV,New HIV infections (per 1000 uninfected population),2009,2009,,USA,United States of America,,,BTSX,Both sexes,,
4406,SDGHIV,New HIV infections (per 1000 uninfected population),2009,2009,,USA,United States of America,,,FMLE,Female,,
4407,SDGHIV,New HIV infections (per 1000 uninfected population),2009,2009,,USA,United States of America,,,MLE,Male,,
4408,SDGHIV,New HIV infections (per 1000 uninfected population),2006,2006,,USA,United States of America,,,MLE,Male,,
4409,SDGHIV,New HIV infections (per 1000 uninfected population),2011,2011,,USA,United States of America,,,FMLE,Female,,
4410,SDGHIV,New HIV infections (per 1000 uninfected population),2008,2008,,USA,United States of America,,,BTSX,Both sexes,,
4411,SDGHIV,New HIV infections (per 1000 uninfected population),2010,2010,,USA,United States of America,,,FMLE,Female,,
4412,SDGHIV,New HIV infections (per 1000 uninfected population),2013,2013,,USA,United States of America,,,BTSX,Both sexes,,
4413,SDGHIV,New HIV infections (per 1000 uninfected population),2010,2010,,USA,United States of America,,,MLE,Male,,
4414,SDGHIV,New HIV infections (per 1000 uninfected population),2012,2012,,USA,United States of America,,,MLE,Male,,
4415,SDGHIV,New HIV infections (per 1000 uninfected population),2014,2014,,USA,United States of America,,,MLE,Male,,
4416,SDGHIV,New HIV infections (per 1000 uninfected population),2014,2014,,USA,United States of America,,,BTSX,Both sexes,,
4417,SDGHIV,New HIV infections (per 1000 uninfected population),2011,2011,,USA,United States of America,,,BTSX,Both sexes,,
4418,SDGHIV,New HIV infections (per 1000 uninfected population),2015,2015,,USA,United States of America,,,FMLE,Female,,
4419,SDGHIV,New HIV infections (per 1000 uninfected population),2013,2013,,USA,United States of America,,,MLE,Male,,
4420,SDGHIV,New HIV infections (per 1000 uninfected population),2015,2015,,USA,United States of America,,,MLE,Male,,
4421,SDGHIV,New HIV infections (per 1000 uninfected population),2012,2012,,USA,United States of America,,,BTSX,Both sexes,,
4422,SDGHIV,New HIV infections (per 1000 uninfected population),2012,2012,,USA,United States of America,,,FMLE,Female,,
4423,SDGHIV,New HIV infections (per 1000 uninfected population),2017,2017,,USA,United States of America,,,BTSX,Both sexes,,
4424,SDGHIV,New HIV infections (per 1000 uninfected population),2015,2015,,USA,United States of America,,,BTSX,Both sexes,,
4425,SDGHIV,New HIV infections (per 1000 uninfected population),2018,2018,,USA,United States of America,,,MLE,Male,,
4426,SDGHIV,New HIV infections (per 1000 uninfected population),2013,2013,,USA,United States of America,,,FMLE,Female,,
4427,SDGHIV,New HIV infections (per 1000 uninfected population),2016,2016,,USA,United States of America,,,BTSX,Both sexes,,
4428,SDGHIV,New HIV infections (per 1000 uninfected population),2016,2016,,USA,United States of America,,,FMLE,Female,,
4429,SDGHIV,New HIV infections (per 1000 uninfected population),2017,2017,,USA,United States of America,,,FMLE,Female,,
4430,SDGHIV,New HIV infections (per 1000 uninfected population),2018,2018,,USA,United States of America,,,FMLE,Female,,
4431,SDGHIV,New HIV infections (per 1000 uninfected population),1992,1992,,USA,United States of America,,,FMLE,Female,,
4432,SDGHIV,New HIV infections (per 1000 uninfected population),2018,2018,,USA,United States of America,,,BTSX,Both sexes,,
4433,SDGHIV,New HIV infections (per 1000 uninfected population),2019,2019,,USA,United States of America,,,FMLE,Female,,
4434,SDGHIV,New HIV infections (per 1000 uninfected population),2020,2020,,USA,United States of America,,,BTSX,Both sexes,,
4435,SDGHIV,New HIV infections (per 1000 uninfected population),2020,2020,,USA,United States of America,,,MLE,Male,,
4436,SDGHIV,New HIV infections (per 1000 uninfected population),2017,2017,,USA,United States of America,,,MLE,Male,,
4437,SDGHIV,New HIV infections (per 1000 uninfected population),2021,2021,,USA,United States of America,,,FMLE,Female,,
4438,SDGHIV,New HIV infections (per 1000 uninfected population),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4439,SDGHIV,New HIV infections (per 1000 uninfected population),2016,2016,,USA,United States of America,,,MLE,Male,,
4440,SDGHIV,New HIV infections (per 1000 uninfected population),2020,2020,,USA,United States of America,,,FMLE,Female,,
4441,SDGHIV,New HIV infections (per 1000 uninfected population),2021,2021,,USA,United States of America,,,MLE,Male,,
4442,SDGHIV,New HIV infections (per 1000 uninfected population),1997,1997,,USA,United States of America,,,MLE,Male,,
4443,SDGHIV,New HIV infections (per 1000 uninfected population),1999,1999,,USA,United States of America,,,BTSX,Both sexes,,
4444,SDGHIV,New HIV infections (per 1000 uninfected population),2000,2000,,USA,United States of America,,,MLE,Male,,
4445,SDGHIV,New HIV infections (per 1000 uninfected population),2003,2003,,USA,United States of America,,,FMLE,Female,,
4446,SDGHIV,New HIV infections (per 1000 uninfected population),2008,2008,,USA,United States of America,,,MLE,Male,,
4447,SDGHIV,New HIV infections (per 1000 uninfected population),2010,2010,,USA,United States of America,,,BTSX,Both sexes,,
4448,SDGHIV,New HIV infections (per 1000 uninfected population),2011,2011,,USA,United States of America,,,MLE,Male,,
4449,SDGHIV,New HIV infections (per 1000 uninfected population),2014,2014,,USA,United States of America,,,FMLE,Female,,
4450,SDGHIV,New HIV infections (per 1000 uninfected population),2019,2019,,USA,United States of America,,,MLE,Male,,
4451,SDGHIV,New HIV infections (per 1000 uninfected population),2021,2021,,USA,United States of America,,,BTSX,Both sexes,,
4452,SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),2019,2019,,USA,United States of America,,,MLE,Male,,
4453,SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),2019,2019,,USA,United States of America,,,FMLE,Female,,
4454,SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),2019,2019,,USA,United States of America,,,BTSX,Both sexes,,
4455,SDGSUICIDE,Crude suicide rates (per 100 000 population),2004,2004,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4456,SDGSUICIDE,Crude suicide rates (per 100 000 population),2016,2016,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4457,SDGSUICIDE,Crude suicide rates (per 100 000 population),2010,2010,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4458,SDGSUICIDE,Crude suicide rates (per 100 000 population),2007,2007,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4459,SDGSUICIDE,Crude suicide rates (per 100 000 population),2015,2015,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4460,SDGSUICIDE,Crude suicide rates (per 100 000 population),2009,2009,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4461,SDGSUICIDE,Crude suicide rates (per 100 000 population),2014,2014,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4462,SDGSUICIDE,Crude suicide rates (per 100 000 population),2002,2002,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4463,SDGSUICIDE,Crude suicide rates (per 100 000 population),2002,2002,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4464,SDGSUICIDE,Crude suicide rates (per 100 000 population),2014,2014,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4465,SDGSUICIDE,Crude suicide rates (per 100 000 population),2018,2018,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4466,SDGSUICIDE,Crude suicide rates (per 100 000 population),2012,2012,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4467,SDGSUICIDE,Crude suicide rates (per 100 000 population),2007,2007,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4468,SDGSUICIDE,Crude suicide rates (per 100 000 population),2006,2006,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4469,SDGSUICIDE,Crude suicide rates (per 100 000 population),2018,2018,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4470,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,2019,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4471,SDGSUICIDE,Crude suicide rates (per 100 000 population),2017,2017,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4472,SDGSUICIDE,Crude suicide rates (per 100 000 population),2016,2016,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4473,SDGSUICIDE,Crude suicide rates (per 100 000 population),2003,2003,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4474,SDGSUICIDE,Crude suicide rates (per 100 000 population),2014,2014,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4475,SDGSUICIDE,Crude suicide rates (per 100 000 population),2009,2009,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4476,SDGSUICIDE,Crude suicide rates (per 100 000 population),2016,2016,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4477,SDGSUICIDE,Crude suicide rates (per 100 000 population),2005,2005,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4478,SDGSUICIDE,Crude suicide rates (per 100 000 population),2017,2017,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4479,SDGSUICIDE,Crude suicide rates (per 100 000 population),2005,2005,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4480,SDGSUICIDE,Crude suicide rates (per 100 000 population),2005,2005,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4481,SDGSUICIDE,Crude suicide rates (per 100 000 population),2003,2003,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4482,SDGSUICIDE,Crude suicide rates (per 100 000 population),2002,2002,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4483,SDGSUICIDE,Crude suicide rates (per 100 000 population),2001,2001,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4484,SDGSUICIDE,Crude suicide rates (per 100 000 population),2008,2008,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4485,SDGSUICIDE,Crude suicide rates (per 100 000 population),2018,2018,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4486,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,2019,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4487,SDGSUICIDE,Crude suicide rates (per 100 000 population),2006,2006,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4488,SDGSUICIDE,Crude suicide rates (per 100 000 population),2004,2004,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4489,SDGSUICIDE,Crude suicide rates (per 100 000 population),2007,2007,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4490,SDGSUICIDE,Crude suicide rates (per 100 000 population),2011,2011,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4491,SDGSUICIDE,Crude suicide rates (per 100 000 population),2017,2017,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4492,SDGSUICIDE,Crude suicide rates (per 100 000 population),2011,2011,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4493,SDGSUICIDE,Crude suicide rates (per 100 000 population),2009,2009,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4494,SDGSUICIDE,Crude suicide rates (per 100 000 population),2000,2000,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4495,SDGSUICIDE,Crude suicide rates (per 100 000 population),2012,2012,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4496,SDGSUICIDE,Crude suicide rates (per 100 000 population),2004,2004,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4497,SDGSUICIDE,Crude suicide rates (per 100 000 population),2006,2006,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4498,SDGSUICIDE,Crude suicide rates (per 100 000 population),2019,2019,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4499,SDGSUICIDE,Crude suicide rates (per 100 000 population),2015,2015,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4500,SDGSUICIDE,Crude suicide rates (per 100 000 population),2015,2015,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4501,SDGSUICIDE,Crude suicide rates (per 100 000 population),2001,2001,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4502,SDGSUICIDE,Crude suicide rates (per 100 000 population),2008,2008,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4503,SDGSUICIDE,Crude suicide rates (per 100 000 population),2010,2010,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4504,SDGSUICIDE,Crude suicide rates (per 100 000 population),2000,2000,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4505,SDGSUICIDE,Crude suicide rates (per 100 000 population),2010,2010,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4506,SDGSUICIDE,Crude suicide rates (per 100 000 population),2011,2011,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4507,SDGSUICIDE,Crude suicide rates (per 100 000 population),2012,2012,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4508,SDGSUICIDE,Crude suicide rates (per 100 000 population),2013,2013,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4509,SDGSUICIDE,Crude suicide rates (per 100 000 population),2000,2000,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4510,SDGSUICIDE,Crude suicide rates (per 100 000 population),2013,2013,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4511,SDGSUICIDE,Crude suicide rates (per 100 000 population),2013,2013,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4512,SDGSUICIDE,Crude suicide rates (per 100 000 population),2008,2008,,USA,United States of America,YEARSALL,Total (All ages),MLE,Male,,
4513,SDGSUICIDE,Crude suicide rates (per 100 000 population),2001,2001,,USA,United States of America,YEARSALL,Total (All ages),BTSX,Both sexes,,
4514,SDGSUICIDE,Crude suicide rates (per 100 000 population),2003,2003,,USA,United States of America,YEARSALL,Total (All ages),FMLE,Female,,
4515,MDG_0000000032,Maternal mortality ratio (per 100 000 live births) - Country reported estimates,2006,2006,,USA,United States of America,,,,,,
4516,ODA_3,"Donor disbursements (Million, constant 2009 US$)",2005,2005,High-income,USA,United States of America,,,,,,
4517,ODA_3,"Donor disbursements (Million, constant 2009 US$)",2006,2006,High-income,USA,United States of America,,,,,,
4518,ODA_3,"Donor disbursements (Million, constant 2009 US$)",2007,2007,High-income,USA,United States of America,,,,,,
4519,ODA_3,"Donor disbursements (Million, constant 2009 US$)",2008,2008,High-income,USA,United States of America,,,,,,
4520,WHS4_154,Antenatal care coverage - at least four visits (%),2015,2015,,USA,United States of America,,,,,,
4521,WHS6_100,Radiotherapy units (per 1 000 000 population),2010,2010,High-income,USA,United States of America,,,,,,
4522,ODA_1,"Donor commitments (Million, constant 2009 US$)",2004,2004,High-income,USA,United States of America,,,,,,
4523,ODA_1,"Donor commitments (Million, constant 2009 US$)",2005,2005,High-income,USA,United States of America,,,,,,
